"year","name","percent","sex"
2008,"Francisco",0.001074,"boy"
2008,"Cayden",0.001068,"boy"
2008,"Shane",0.001057,"boy"
2008,"Edwin",0.001042,"boy"
2008,"Hudson",0.001034,"boy"
2008,"Travis",0.001025,"boy"
2008,"Bryson",0.001024,"boy"
2008,"Erick",0.001024,"boy"
2008,"Jace",0.001006,"boy"
2008,"Hector",0.001001,"boy"
2008,"Josue",0.000995,"boy"
2008,"Peter",0.000995,"boy"
2008,"Jaylen",0.00099,"boy"
2008,"Mario",0.00099,"boy"
2008,"Manuel",0.000985,"boy"
2008,"Abraham",0.000983,"boy"
2008,"Grayson",0.000973,"boy"
2008,"Damien",0.000969,"boy"
2008,"Kaiden",0.000968,"boy"
2008,"Spencer",0.00096,"boy"
2008,"Stephen",0.000955,"boy"
2008,"Edgar",0.000951,"boy"
2008,"Wesley",0.000945,"boy"
2008,"Shawn",0.000944,"boy"
2008,"Trenton",0.000941,"boy"
2008,"Jared",0.000939,"boy"
2008,"Jeffrey",0.000918,"boy"
2008,"Landen",0.000908,"boy"
2008,"Johnathan",0.000902,"boy"
2008,"Bradley",9e-04,"boy"
2008,"Braxton",0.000893,"boy"
2008,"Ryder",0.000889,"boy"
2008,"Camden",0.000889,"boy"
2008,"Roman",0.000885,"boy"
2008,"Asher",0.000866,"boy"
2008,"Brendan",0.000865,"boy"
2008,"Maddox",0.000854,"boy"
2008,"Sergio",0.00085,"boy"
2008,"Israel",0.00084,"boy"
2008,"Andy",0.000835,"boy"
2008,"Lincoln",0.000835,"boy"
2008,"Erik",0.000825,"boy"
2008,"Donovan",0.000822,"boy"
2008,"Raymond",0.00081,"boy"
2008,"Avery",0.000805,"boy"
2008,"Rylan",0.000802,"boy"
2008,"Dalton",0.000801,"boy"
2008,"Harrison",0.000797,"boy"
2008,"Andre",0.000782,"boy"
2008,"Martin",0.000781,"boy"
2008,"Keegan",0.000771,"boy"
2008,"Marco",0.000769,"boy"
2008,"Jude",0.000767,"boy"
2008,"Sawyer",0.000767,"boy"
2008,"Dakota",0.000748,"boy"
2008,"Leo",0.000745,"boy"
2008,"Calvin",0.000744,"boy"
2008,"Kai",0.000735,"boy"
2008,"Drake",0.000732,"boy"
2008,"Troy",0.000731,"boy"
2008,"Zion",0.000731,"boy"
2008,"Clayton",0.000726,"boy"
2008,"Roberto",0.000725,"boy"
2008,"Zane",0.000718,"boy"
2008,"Gregory",0.000713,"boy"
2008,"Tucker",0.000711,"boy"
2008,"Rafael",0.000708,"boy"
2008,"Kingston",0.000706,"boy"
2008,"Dominick",0.000706,"boy"
2008,"Ezekiel",0.000705,"boy"
2008,"Griffin",0.00069,"boy"
2008,"Devon",0.000689,"boy"
2008,"Drew",0.000681,"boy"
2008,"Lukas",0.000677,"boy"
2008,"Johnny",0.000675,"boy"
2008,"Ty",0.000654,"boy"
2008,"Pedro",0.000651,"boy"
2008,"Tyson",0.000647,"boy"
2008,"Caiden",0.000646,"boy"
2008,"Mateo",0.00064,"boy"
2008,"Braylon",0.000637,"boy"
2008,"Cash",0.000637,"boy"
2008,"Aden",0.000636,"boy"
2008,"Chance",0.000634,"boy"
2008,"Taylor",0.000628,"boy"
2008,"Marcos",0.000623,"boy"
2008,"Maximus",0.000623,"boy"
2008,"Ruben",0.000621,"boy"
2008,"Emanuel",0.000619,"boy"
2008,"Simon",0.000619,"boy"
2008,"Corbin",0.000617,"boy"
2008,"Brennan",0.000606,"boy"
2008,"Dillon",0.000602,"boy"
2008,"Skyler",0.000601,"boy"
2008,"Myles",0.000599,"boy"
2008,"Xander",0.000598,"boy"
2008,"Jaxson",0.000595,"boy"
2008,"Dawson",0.000593,"boy"
2008,"Kameron",0.00059,"boy"
2008,"Kyler",0.000583,"boy"
2008,"Axel",0.000579,"boy"
2008,"Colby",0.000578,"boy"
2008,"Jonas",0.000573,"boy"
2008,"Joaquin",0.00057,"boy"
2008,"Payton",0.000568,"boy"
2008,"Brock",0.000563,"boy"
2008,"Frank",0.000561,"boy"
2008,"Enrique",0.000559,"boy"
2008,"Quinn",0.000557,"boy"
2008,"Emilio",0.000556,"boy"
2008,"Malik",0.000556,"boy"
2008,"Grady",0.000552,"boy"
2008,"Angelo",0.00055,"boy"
2008,"Julio",0.00055,"boy"
2008,"Derrick",0.000545,"boy"
2008,"Raul",0.000544,"boy"
2008,"Fabian",0.000543,"boy"
2008,"Corey",0.000542,"boy"
2008,"Gerardo",0.000542,"boy"
2008,"Dante",0.000526,"boy"
2008,"Ezra",0.000525,"boy"
2008,"Armando",0.000524,"boy"
2008,"Allen",0.000523,"boy"
2008,"Theodore",0.000522,"boy"
2008,"Gael",0.000517,"boy"
2008,"Amir",0.000517,"boy"
2008,"Zander",0.000516,"boy"
2008,"Adan",0.000512,"boy"
2008,"Maximilian",0.000511,"boy"
2008,"Randy",0.000509,"boy"
2008,"Easton",0.000507,"boy"
2008,"Dustin",0.000506,"boy"
2008,"Luca",0.000506,"boy"
2008,"Phillip",0.000503,"boy"
2008,"Julius",0.000501,"boy"
2008,"Charlie",5e-04,"boy"
2008,"Ronald",0.000497,"boy"
2008,"Jakob",0.000495,"boy"
2008,"Cade",0.000494,"boy"
2008,"Brett",0.000494,"boy"
